CODE,NAME,month,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
119,수원,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,안동,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,여수,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,영덕,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,영월,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,영천,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,완도,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,울릉도,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,울산,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,울진,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,원주,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,이천,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,인천,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
146,전주,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
245,정읍,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
184,제주,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,진주,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,창원,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,천안,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,철원,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,청주,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,추풍령,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,춘천,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,충주,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
162,통영,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,파주,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
138,포항,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,흑산도,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
294,거제,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
284,거창,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
185,고산,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
251,고창군,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156,광주,2,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0
279,구미,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,군산,2,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0
247,남원,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,대관령,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,대구,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
133,대전,2,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0
98,동두천,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
106,동해,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,목포,2,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0
102,백령도,2,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0
235,보령,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,부산,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
104,북강릉,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,상주,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
189,서귀포,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0
129,서산,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0
108,서울,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
188,성산,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,속초,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
119,수원,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
136,안동,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
