NAME,AQI,YEAR,MONTH,DATE
Beijing,117,2015,1,24
Beijing,185,2015,1,25
Beijing,119,2015,1,26
Beijing,43,2015,1,27
Beijing,65,2015,1,28
Beijing,87,2015,1,29
Beijing,35,2015,1,30
Beijing,60,2015,1,31
Beijing,108,2015,2,1
Beijing,188,2015,2,2
Beijing,143,2015,2,3
Beijing,36,2015,2,4
Beijing,62,2015,2,5
Beijing,100,2015,2,6
Beijing,37,2015,2,7
Beijing,46,2015,2,8
Beijing,152,2015,2,9
Beijing,166,2015,2,10
Beijing,55,2015,2,11
Beijing,59,2015,2,12
Beijing,175,2015,2,13
Beijing,293,2015,2,14
Beijing,326,2015,2,15
Beijing,153,2015,2,16
Beijing,44,2015,2,17
Beijing,73,2015,2,18
Beijing,267,2015,2,19
Beijing,183,2015,2,20
Beijing,394,2015,2,21
Beijing,158,2015,2,22
Beijing,86,2015,2,23
Beijing,207,2015,2,24
Beijing,88,2015,2,25
Beijing,39,2015,2,26
Beijing,41,2015,2,27
Beijing,165,2015,2,28
Beijing,70,2015,3,1
Beijing,74,2015,3,2
Beijing,50,2015,3,3
Beijing,47,2015,3,4
Beijing,153,2015,3,5
Beijing,251,2015,3,6
Beijing,279,2015,3,7
Beijing,152,2015,3,8
Beijing,40,2015,3,9
Beijing,57,2015,3,10
Beijing,64,2015,3,11
Beijing,98,2015,3,12
Beijing,89,2015,3,13
Beijing,132,2015,3,14
Beijing,137,2015,3,15
Beijing,266,2015,3,16
Beijing,226,2015,3,17
Beijing,75,2015,3,18
Beijing,134,2015,3,19
Beijing,123,2015,3,20
Beijing,75,2015,3,21
Beijing,79,2015,3,22
Beijing,70,2015,3,23
Beijing,109,2015,3,24
Beijing,160,2015,3,25
Beijing,137,2015,3,26
Beijing,143,2015,3,27
Beijing,174,2015,3,28
Beijing,176,2015,3,29
Beijing,201,2015,3,30
Beijing,192,2015,3,31
Beijing,77,2015,4,1
Beijing,50,2015,4,2
Beijing,62,2015,4,3
Beijing,90,2015,4,4
Beijing,70,2015,4,5
Beijing,43,2015,4,6
Beijing,50,2015,4,7
Beijing,135,2015,4,8
Beijing,217,2015,4,9
Beijing,201,2015,4,10
Beijing,182,2015,4,11
Beijing,44,2015,4,12
Beijing,68,2015,4,13
Beijing,78,2015,4,14
Beijing,181,2015,4,15
Beijing,87,2015,4,16
Beijing,116,2015,4,17
Beijing,87,2015,4,19
Beijing,90,2015,4,20
Beijing,91,2015,4,21
Beijing,85,2015,4,22
Beijing,80,2015,4,23
Beijing,107,2015,4,24
Beijing,119,2015,4,25
Beijing,161,2015,4,26
Beijing,115,2015,4,27
Beijing,79,2015,4,28
Beijing,152,2015,4,29
Beijing,153,2015,4,30
Beijing,150,2015,5,1
Beijing,89,2015,5,2
Beijing,66,2015,5,3
Beijing,67,2015,5,4
Beijing,72,2015,5,5
Beijing,63,2015,5,6
Beijing,87,2015,5,7
Beijing,73,2015,5,8
Beijing,52,2015,5,9
Beijing,59,2015,5,10
Beijing,43,2015,5,11
Beijing,58,2015,5,12
Beijing,102,2015,5,13
Beijing,62,2015,5,14
Beijing,68,2015,5,15
