CODE,START_DATE,END_DATE,NAME,MANAGEMENT,LAT,LNG,ADDRESS
279,1973.01.01,,구미,대구(구 143),36.13,128.32,경상북도 구미시 남통동
281,1972.01.21,,영천,대구(구 143),35.9774,128.9514,경상북도 영천시 망정동
283,2010.08.06,,경주시,포항기상대(138),35.8175,129.2009,경상북도 경주시 탑동
284,2011.03.04,,거창,울산기상대(152),35.6674,127.909,경상남도 거창군 거창읍 정장리
284,1972.01.24,2011.03.04,거창,거창기상대(284),35.6712,127.911,경상남도 거창군 거창읍 정장리
285,1973.01.01,,합천,울산기상대(152),35.565,128.1699,경상남도 합천군 합천리
288,1973.01.01,,밀양,울산기상대(152),35.4915,128.7441,경상남도 밀양시 산문동
289,1972.03.30,,산청,창원기상대(155),35.413,127.8791,경상남도 산청군 산청읍 지리
294,1972.01.24,,거제,부산지방기상청(159),34.8882,128.6045,경상남도 거제시 장평동
295,1972.01.24,,남해,부산지방기상청(159),34.8166,127.9264,경상남도 남해군 이동면
