"NAME","CODE","YEAR","YD","MONTH"
"춘천",101,2010,0,1
"춘천",101,2009,0,1
"춘천",101,2008,0,1
"춘천",101,2007,0,1
"춘천",101,2006,0,1
"춘천",101,2005,0,1
"춘천",101,2004,0,1
"춘천",101,2003,0,1
"춘천",101,2002,1,1
"춘천",101,2001,2,1
"원주",114,2016,0,1
"원주",114,2015,0,1
"원주",114,2014,1,1
"원주",114,2013,0,1
"원주",114,2012,0,1
"원주",114,2011,0,1
"원주",114,2010,0,1
"원주",114,2009,0,1
"원주",114,2008,0,1
"원주",114,2007,0,1
"원주",114,2006,0,1
"원주",114,2005,0,1
"원주",114,2004,0,1
"원주",114,2003,0,1
"원주",114,2002,2,1
"원주",114,2001,1,1
"대관령",100,2016,0,1
"대관령",100,2015,0,1
"대관령",100,2014,0,1
"대관령",100,2013,0,1
"대관령",100,2012,0,1
"대관령",100,2011,0,1
"대관령",100,2010,0,1
"대관령",100,2009,0,1
"대관령",100,2008,0,1
"대관령",100,2007,0,1
"대관령",100,2006,0,1
"대관령",100,2005,0,1
"대관령",100,2004,0,1
"대관령",100,2003,0,1
"대관령",100,2002,0,1
"대관령",100,2001,2,1
"속초",90,2016,0,1
"속초",90,2015,0,1
"속초",90,2014,0,1
"속초",90,2013,0,1
"속초",90,2012,0,1
"속초",90,2011,0,1
"속초",90,2010,0,1
"속초",90,2009,0,1
"속초",90,2008,0,1
"속초",90,2007,0,1
"속초",90,2006,0,1
"속초",90,2005,0,1
"속초",90,2004,0,1
"속초",90,2003,0,1
"속초",90,2002,2,1
"속초",90,2001,2,1
"동해",106,2010,0,1
"동해",106,2009,0,1
"동해",106,2008,0,1
"동해",106,2007,0,1
"동해",106,2006,0,1
"동해",106,2005,0,1
"동해",106,2004,0,1
"동해",106,2003,0,1
"동해",106,2002,2,1
"동해",106,2001,2,1
"철원",95,2016,0,1
"철원",95,2015,0,1
"철원",95,2014,1,1
"철원",95,2013,0,1
"철원",95,2012,0,1
"철원",95,2011,0,1
"철원",95,2010,0,1
"철원",95,2009,0,1
"철원",95,2008,0,1
"철원",95,2007,0,1
"철원",95,2006,0,1
"철원",95,2005,0,1
"철원",95,2004,0,1
"철원",95,2003,0,1
"철원",95,2002,1,1
"철원",95,2001,1,1
"영월",121,2010,0,1
"영월",121,2009,0,1
"영월",121,2008,0,1
"영월",121,2007,0,1
"영월",121,2006,0,1
"영월",121,2005,0,1
"영월",121,2004,0,1
"영월",121,2003,0,1
"영월",121,2002,2,1
"영월",121,2001,2,1
"홍천",212,2007,0,1
"홍천",212,2006,0,1
"홍천",212,2005,0,1
"홍천",212,2004,0,1
"홍천",212,2003,0,1
"홍천",212,2002,0,1
"홍천",212,2001,0,1
"충주",127,2010,1,1
"충주",127,2009,0,1
"충주",127,2008,0,1
"충주",127,2007,0,1
"충주",127,2006,0,1
"충주",127,2005,0,1
"충주",127,2004,0,1
"충주",127,2003,0,1
"충주",127,2002,1,1
"충주",127,2001,1,1
"청주",131,2016,0,1
"청주",131,2015,0,1
"청주",131,2014,2,1
"청주",131,2013,0,1
"청주",131,2012,0,1
"청주",131,2011,0,1
