,NAME,ADDRESS,LAT,LNG
295,기흥,경기+용인시+기흥구+관곡로+95,37.2802242,127.1151398
296,동수원,경기+수원시+팔달구+우만동+562-7,37.2788817,127.0312503
297,모란역,경기+성남시+수정구+수진2동+453,37.4374695,127.1285692
298,봉산동,경기+안성시+봉산동+시청길+25,37.008025,127.279817
299,부곡3동,경기+의왕시+부곡3동+부곡중앙남1길+19,37.3195089,126.9502569
300,설성면,경기+이천시+설성면+신필리+산+88-5,37.1387735,127.5471615
301,소하동,경기+광명시+소하동+1331,37.4397958,126.8832786
302,안중,경기+평택시+안중읍+안중리+안중읍사무소,36.9857715,126.9317124
303,여주,경기+여주시+하동+134-11,37.2980237,127.6371628
304,원시동,경기+안산시+단원구+산단로+112,37.3052549,126.7885028
305,의정부동,경기+의정부시+의정부2동+551-2,37.735582,127.0404207
