PM10,EM5_VOC,EM5_NH3,EM5_PM2.5,EM6_CO,EM6_NOX,EM6_SOX,EM6_TSP,EM6_PM10,EM6_VOC,EM6_NH3,EM6_PM2.5,EM7_CO,EM7_NOX,EM7_SOX,EM7_TSP,EM7_PM10,EM7_VOC,EM7_NH3,EM7_PM2.5,EM8_CO,EM8_NOX,EM8_SOX,EM8_TSP,EM8_PM10,EM8_VOC,EM8_NH3,EM8_PM2.5,EM9_CO,EM9_NOX,EM9_SOX,EM9_TSP,EM9_PM10,EM9_VOC,EM9_NH3,EM9_PM2.5,POP_DEN,YD_FREQ,X_COORD,Y_COORD
49.96468927,167394,0,0,0,0,0,0,0,2775341,0,0,4164901.5,2208146,7442.5,115377.5,115377.5,641364.5,82448,0,15765.5,43612,835.5,2467.5,2467.5,6074.5,111.5,0,81108.5,336100.5,64241,8918,6457,162365,0,0,9256.32,0,127.0566463,37.27491265
58.59913545,230733,0,0,0,0,0,0,0,8558146,0,0,3198344,3455186,8880,184652,184652,574461,78539,0,569176,3165687,1923900,163859,119803,229101,7068,0,25465,509294,14260,10186,7375,1507510,0,0,2902.68,0,126.7883083,37.38933175
60.85185185,148065,0,0,0,0,0,0,0,4112739,0,0,3845058,2690388,7699,144765,144765,637264,50832,0,156639,515554,7463,21798,21798,64207,1510,0,4465,54773,3005,1155,835,139780,0,0,7575.18,0,128.9867641,35.1577265
38.43420596,52357,0,0,0,0,0,0,0,3082251,0,0,1181675,1032222,3184,52880,52880,191237,26073,0,785527,2709791,34426,106598,106598,320764,8373,0,337,6748,189,135,98,19974,0,0,364.03,0,129.2011529,35.29772229
41.83453237,29214,0,0,0,0,0,0,0,751423,0,0,1437512,719834,2001,37866,37866,240836,16583,0,116656,409302,5098,15592,15592,48038,1275,0,13,259,7,5,4,765,0,0,11112.01,0,128.5937333,35.86630699
45.84467456,253810,0,0,0,0,0,0,0,1750538,0,0,4310490,3010468,8615,152886,152886,727255,76734,0,433808,1260174,19994,51851,51845,152920,3555,0,149,2973,83,59,43,8799,0,0,1853.72,0,128.6857983,35.93420514
50.92597765,116613,0,0,0,0,0,0,0,1248680,0,0,1737318,1022582,4312,56274,56274,269460,38285,0,255957,885213,11145,34712,34712,104157,2749,0,33,651,18,13,9,87834,0,0,3466.58,0,126.8566438,35.0937484
46.86056338,150070,0,0,0,0,0,0,0,2757113,0,0,3999890,2603844,10132,143665,143665,638296,85371,0,319556,1105102,13979,43285,43285,130635,3420,0,526,10515,294,210,152,31126,0,0,3786.3,0,126.92542,35.1929468
60.9758283,139176,0,0,0,0,0,0,0,4296234,0,0,5418768,4241114,12004,214549,214549,924823,99916,0,314859,1072683,14145,43063,43063,128645,3275,0,250,4994,140,100,72,14781,0,0,4960.99,0,128.57733,35.92870071
33.03079417,89071,0,0,0,0,0,0,0,1701671,0,0,2233713,2544261,5399,136041,136041,393528,45103,0,328623,964477,13925,50791,50791,123351,2779,0,449,7577,272,153,111,34150,0,0,207.94,0,127.8957091,37.01509146
43.65068135,120393,0,0,0,0,0,0,0,1257932,0,0,7025592,3526475,12143,179304,179304,1114754,121756,0,171170,555642,8203,24065,24065,69839,1608,0,6691,24086,5352,669,484,268,0,0,5299.9,0,127.345086,36.28005586
51.01612903,182814,0,0,0,0,0,0,0,6711239,0,0,8711202,4726204,14575,241254,241254,1436245,134602,0,665798,2334652,29082,89044,89044,274000,7266,0,61856,225401,49445,6235,4514,12285,0,0,9460.98,0,128.5293321,35.82725071
39.82926493,108430,0,0,0,0,0,0,0,2109668,0,0,2801205,2442009,6109,125692,125692,495857,51060,0,124484,342195,7186,19102,19102,50563,802,0,58297,654453,40132,13963,10109,1606086,0,0,3175.22,0,127.4401448,36.41200897
66.35211268,337713,0,0,0,0,0,0,0,514958,0,0,1920946,2547939,3927,161603,161603,469168,19067,0,1740396,5417118,2736577,163744,102599,268271,4618,0,3299,57400,1973,1162,842,164358,0,0,802.08,0,126.4804392,37.46747634
78.16240602,24154,0,0,0,0,0,0,0,397315,0,0,965832,639641,1610,34814,34814,157669,15924,0,60121,200406,2714,8581,8581,23230,666,0,485,9696,271,194,140,29730,0,0,896.95,0,127.0778622,37.91652857
60.2189781,17493,0,0,0,0,0,0,0,1072258,0,0,1265823,873890,1903,54841,54841,237545,13128,0,5929,17637,314,863,863,2420,44,0,118,423,94,12,9,5,0,0,10644.57,0,126.6396443,37.48293081
35.49747158,935324,0,0,0,0,0,0,0,4369169,0,0,5008908,3069069,9396,159797,159797,883151,87939,0,616530,3460249,2144457,180167,131051,249220,7609,0,74558,590142,54938,13341,9659,1285631,0,0,4794.85,0,129.3284145,35.51578349
53.0875,129335,0,0,0,0,0,0,0,2218368,0,0,6449756,3780624,11565,217219,217219,1105262,76366,0,58322,201348,2603,7871,7871,23983,617,0,1302,5276,1033,141,102,2179,0,0,17026.91,0,126.6645592,37.45253679
62.76555716,58615,0,0,0,0,0,0,0,1415251,0,0,3940016,1769370,6158,98571,98571,624486,54239,0,225374,790488,9847,30131,30131,92778,2461,0,36114,130009,28891,3611,2615,1445,0,0,8026.71,0,126.647202,37.39849923
64.13826816,154122,0,0,0,0,0,0,0,8661351,0,0,6038054,3689624,13359,197384,197384,993119,77035,0,359050,1254909,15665,48184,48184,147392,3906,0,15977,297927,9264,5996,4340,867869,0,0,6864.09,0,126.726369,37.43128764
43.06088889,840811,0,0,0,0,0,0,0,3066505,0,0,2265978,3362299,7134,182071,182071,443912,75598,0,579465,3991073,3348276,234505,157402,223029,7480,0,7896,157914,4422,3158,2287,479461,0,0,234.6,0,129.1871214,35.54635373
44.78742304,55798,0,0,0,0,0,0,0,261252,0,0,1312821.5,717632,2261.5,38216.5,38216.5,204329.5,24712,0,12725.5,34606,721.5,1980.5,1980.5,5065.5,82.5,0,110.5,2207.5,62,44,32,6534,0,0,16653.52,0,127.0161813,37.27738613
54.20473538,30808,0,0,0,0,0,0,0,486433,0,0,966435,583542,2436,31281,31281,157090,20849,0,63574,222231,2767,8533,8533,26103,692,0,178,3558,100,71,52,16083,0,0,2334.7,0,126.9494007,35.1170729
59.03306216,1264577,0,0,0,0,0,0,0,2149971,0,0,5256657,2514117,10224,125024,125024,773583,122303,0,274686,961712,11976,36806,36806,112900,2994,0,362,7232,203,145,105,27378,0,0,6348.65,0,127.1060172,37.379235
47.91201117,73026,0,0,0,0,0,0,0,1849697,0,0,2808292,1545603,7202,85217,85217,420882,64330,0,234674,813478,10265,31720,31720,95915,2520,0,96489,408317,76299,10764,7793,223751,0,0,6619.77,0,126.8506441,35.13538767
70.6337386,88028,0,0,0,0,0,0,0,1316343,0,0,845055,1098687,3226,57998,57998,158880,29562,0,179037,560675,8894,25693,25693,72878,1559,0,499,9978,279,200,144,29536,0,0,2560.16,0,126.9895648,37.36231932
60.42638889,82890,0,0,0,0,0,0,0,857670,0,0,1143128,1616541,4196,82716,82716,206385,38252,0,85735,293216,3641,11807,11807,34438,914,0,867,5599,658,132,96,8972,0,0,1448.64,0,127.2059088,37.522763
49.46986389,82377.75,0,0,0,0,0,0,0,1766644,0,0,2908307.5,2338095,5899.25,126853.25,126853.25,473882,56784,0,271561.75,849494,12310.5,37409.75,37408.75,104490,2487.25,0,16518.75,303008,9651.25,6107,4421.5,891914.25,0,0,444.57,0,127.5848902,36.59196188
46.21892388,220891,0,0,0,0,0,0,0,5368557,0,0,2625722,2029142,7131,114884,114884,426931,61033,0,588058,1785786,25843,70050,70043,209433,5257,0,3930,78608,2201,1572,1138,232680,0,0,1398.14,0,126.7528088,35.16473262
39.56527977,62224,0,0,0,0,0,0,0,658876,0,0,2737145,2040535,5368,104953,104953,472174,48356,0,79534,211138,4646,12443,12443,32070,476,0,4190,15085,3352,419,303,168,0,0,1729.48,0,127.4750345,36.32374112
47.29567643,154886,0,0,0,0,0,0,0,689529,0,0,3468166,1441247,5855,72579,72579,508017,70918,0,84711,279996,3488,12131,12131,32592,882,0,12686,74650,9725,1799,1303,105044,0,0,6763.92,0,127.0715002,37.33337595
54.86524502,241044,0,0,0,0,0,0,0,7087243,0,0,8290381,5154852,14912,274704,274704,1350156,145580,0,284831,938815,12702,35281,35279,109025,2817,0,54076,200460,43175,5513,3991,23050,0,0,16076.01,0,126.7886262,37.50420496
40.80501393,71426,0,0,0,0,0,0,0,763926,0,0,3676151,1985072,6124,102850,102850,600448,58384,0,106272,346328,5004,14920,14920,43296,1009,0,4861,17500,3889,486,352,194,0,0,4252.82,0,127.4110469,36.28067646
50.63718141,82734,0,0,0,0,0,0,0,1807558,0,0,2873324,1600366,4831,84589,84589,458965,48212,0,112292,390625,4860,15161,15161,45885,1216,0,42249,156099,33741,4298,3112,16133,0,0,8137.4,0,126.8646258,37.44509943
36.82481752,435719,0,0,0,0,0,0,0,1901855,0,0,3706741,2266247,7626,109197,109197,616385,66796,0,233742,795148,10329,32090,32090,94948,2436,0,4250,15409,3398,427,309,74653,0,0,1371.93,0,127.3332368,36.376617
35.99710983,26518,0,0,0,0,0,0,0,416976,0,0,718272,1231291,2051,63983,63983,138309,18097,0,84402,217053,2512,14869,14869,26786,686,0,5177,18648,4142,518,375,2289,0,0,44.61,0,127.829627,36.76952736
59.32004232,112578,0,0,0,0,0,0,0,1358953,0,0,2969563,2588549,7218,137653,137653,498331,69887,0,32306,106134,1318,4653,4653,12464,332,0,2315,46297,1296,926,670,137040,0,0,6445.89,0,126.8707403,37.31593037
62.49664934,112578,0,0,0,0,0,0,0,6495270,0,0,4033251,2727892,7332,147852,147852,664683,70233,0,29391,95881,1190,4263,4263,11258,300,0,68686,657204,48950,14367,10402,1481508,0,0,3635.13,0,126.6939455,37.28184769
60.70289855,448081,0,0,0,0,0,0,0,1566200,0,0,2980252,2430281,7370,130218,130218,465126,84218,0,208234,716320,9237,28503,28503,83762,2266,0,4237,84733,2373,1695,1227,250808,0,0,2303.25,0,126.878558,37.65577278
65.6975398,145017,0,0,0,0,0,0,0,1787331,0,0,2917967,1636274,5226,86854,86854,449305,58768,0,201929,700345,8818,27416,27416,81699,2204,0,32672,129421,25965,3483,2521,43884,0,0,4055.33,0,126.7974744,37.67983058
