PM10,EM2_CO,EM2_NOX,EM2_SOX,EM2_TSP,EM2_PM10,EM2_VOC,EM2_NH3,EM2_PM2.5,EM3_CO,EM3_NOX,EM3_SOX,EM3_TSP,EM3_PM10,EM3_VOC,EM3_NH3,EM3_PM2.5,EM4_CO,EM4_NOX,EM4_SOX,EM4_TSP,EM4_PM10,EM4_VOC,EM4_NH3,EM4_PM2.5,EM5_CO,EM5_NOX,EM5_SOX,EM5_TSP,EM5_PM10
91.19887165,251083,513408,129741,22441,14585,15410,11625,0,6599,49102,44430,11669,7781,1066,606,0,23,1004,654,61,45,1587,38,0,0,0,0,0,0
66.91152624,109786,632401,40987,5874,4833,26883,10357,0,95803,512705,397137,87855,58484,15287,7609,0,28,678333,6733,90168,46593,2981,1431350,0,0,0,0,0,0
58.15810811,127152,700902,24991,5705,4850,29768,12112,0,70100,409031,202113,34654,23292,11783,5657,0,204362,1080571,2371,241696,123291,327708,0,0,0,0,0,0,0
69.03966906,88596.5,276821,63985.5,17804,11356.5,9710.5,4752,0,6597,68337.5,43687,3071,2020,1583,1004.5,0,0,0,0,0,0,1222,0,0,0,0,0,0,0
47.14861111,389492,236393,193296,10783,7045,3869,5027,0,335246,7213472,3571162,111274,74534,40560,2704,0,0,0,0,294225,0,2273,0,0,0,0,0,0,0
69.14439946,254469.5,753239,191423.5,58917,37356.5,25547.5,13185,0,268565,345528.5,233344,15729,10403,34821,8740.5,0,399,17151,11168,399,379,2399,2002,0,0,0,0,0,0
57.66129032,127394,659604,2828166,243352,151191,19768,11088,0,28194,241661,204055,13491,8961,6000,3333,0,0,0,5371,0,0,958,0,0,0,0,0,0,0
28.85309973,174869,249869,112388,17072,10869,8107,4601,0,605,1966,98,9,7,78,37,0,0,0,462,0,0,3007,0,0,0,0,0,0,0
82.65876462,283429,823551,596813,55265,35629,30227,14389,0,172385,1255434,710906,62475,41299,33793,17580,0,738,31743,38688,1187,975,199534,0,0,0,0,0,0,0
87.81000275,221732,328090,80434,5734,4050,12478,5590,0,2003,11079,9187,5078,3409,281,86,0,0,0,1155,0,0,3957,0,0,0,0,0,0,0
97.24909672,283184,734265,75557,9009,7100,31085,11776,0,5017,37003,54085,5072,3377,932,504,0,0,0,0,141,86,1705,0,0,0,0,0,0,0
65.64594595,363350,411738,118662,14415,9548,13242,7849,0,3488,10687,685,28,18,458,192,0,0,0,0,0,0,4212,0,0,0,0,0,0,0
42.07133244,391443,482054,155963,17243,11449,15240,8702,0,1012,6963,3629,96,59,177,126,0,0,0,0,115,70,4039,0,0,0,0,0,0,0
65.79487179,225990,586302,149614,11580,8260,22321,9297,0,24636,76574,12008,6028,4136,3281,1051,0,0,0,0,0,0,3016,0,0,0,0,0,0,0
74.43137255,274654,671002,159133,15173,10246,19681,16317,0,159644,1174549,896342,83827,54964,31010,16359,0,0,0,4678,0,0,5520,0,0,0,0,0,0,0
52.84670487,85172,442220,730837,13130,8444,10984,11362,0,10951,106448,316017,36829,24616,2103,1380,0,0,0,0,0,0,5792,0,0,0,0,0,0,0
79.13329306,229184,669184,922287,82925,52385,24125,11135,0,242347,1404703,683241,109145,72299,42115,19341,0,4223,181605,139684,4223,4012,305403,0,0,0,0,0,0,0
85.52553763,144984,290394.5,69450.5,11537.5,7522,9237.5,6242.5,0,1626.5,18489,22555.5,9000,6023,262,160.5,0,0,0,404.5,102.5,62.5,2264.5,0,0,0,0,0,0,0
49.6771978,27181,147878,26334,1868,1401,5412,2902,0,150846,469103,83544,39211,26730,20257,6202,0,0,0,4851,0,0,829,0,0,0,0,0,0,0
41.35704773,92544,449332,801780,15398,9765,8976,13240,0,351114,3341301,2394479,7837945,5250491,70758,27206,0,5225919,1473421,12586797,268537,147669,11423789,4567605,0,0,0,0,0,0
62.04761643,48822,119943,12526,1484,1100,4832,1928,0,106,664,635,354,239,15,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88.6922043,196877,560785,132822,43587,27798,19862,9553,0,69376,533943,270262,11211,7295,14247,7678,0,0,0,0,0,0,1821,0,0,0,0,0,0,0
81.82867848,1055807,709629,375394,26132,17662,16980,12364,0,78759,1072102,1402207,671840,449896,12923,5133,0,2662,114483,74893,2739,2576,15524,0,0,0,0,0,0,0
86.19889202,138306,364975,31234,4879,3790,15133,5798,0,3376,23867,20433,5863,3891,594,259,0,0,0,0,295,180,2456,0,0,0,0,0,0,0
37.96774194,278819,506411,168285,28567,18478,17673,9695,0,174612,1996816,1993551,319685,212822,41287,24275,0,0,0,2368,64,39,593425,0,0,0,0,0,0,0
54.33149501,142998,217499,38647,4177,3061,8460,3634,0,49730,306269,287874,33909,22600,8989,4337,0,7114,305881,199178,7114,6758,14989,105,0,0,0,0,0,0
79.19137466,188551,480912,78910,7451,5619,19896,7852,0,23198,173222,144001,19266,12835,4424,2261,0,0,0,0,0,0,2472,0,0,0,0,0,0,0
51.7281399,218436,509165,193047,22162,14171,12889,13455,0,10955,75517,97482,16636,11082,1351,1365,0,0,0,0,0,0,202262,0,0,0,0,0,0,0
61.07220708,191482,386232,85020,6886,4963,15138,6498,0,46792,270571,180862,16294,10823,8110,3679,0,0,0,866,0,0,1146,20,0,0,0,0,0,0
67.55670103,821752,488370,369646,22910,14944,8106,10115,0,56828,768018,965604,378537,253465,10867,5360,0,0,0,346,0,0,7589,0,0,0,0,0,0,0
62.54825175,558857,306619,215410,17294,11225,4604,6553,0,83846,1751014,858159,4866,3266,10370,1033,0,0,0,346,276721,0,3031,0,0,0,0,0,0,0
83.72883561,176989,488237,66226,10363,7000,13890,12254,0,10903,86768,88657,37667,25233,1507,826,0,7,301,196,943,578,1326,0,0,0,0,0,0,0
61.20085668,256658,741525,925943,84079,53376,27619,12092,0,45624,455215,271293,18167,11715,10698,6846,0,16,703,4154,144,94,866,0,0,0,0,0,0,0
50.52011096,150402,233302,126008,11915,7531,4295,6972,0,19488,117107,136918,1951,1226,3286,1922,0,0,0,0,0,0,1021,0,0,0,0,0,0,0
62.78677463,142184,398193,128422,11812,7430,6756,12062,0,58115,630480,1147788,54168,35416,13959,8823,0,19,803,523,1801,1105,11369,0,0,0,0,0,0,0
77.54189881,982456,671604,336305,27033,18106,17055,11985,0,18867,331133,484256,256917,172103,2630,871,0,0,0,0,0,0,6525,0,0,0,0,0,0,0
92.07346939,98575,237578,24318,4233,3079,9092,4337,0,10551,57710,38668,8505,5675,1684,744,0,0,0,0,0,0,158,0,0,0,0,0,0,0
