,year,month,name,sig_cd,weather_cd,SO2,CO,O3,NO2,PM10
118,2001,1,덕신리,31710,152,0.003905691,0.835897436,NA,0.014830671,46.16496599
119,2001,1,상남리,31710,152,0.007934959,0.877807848,0.02926387,0.028427605,44.9932341
121,2001,1,화산리,31710,152,0.014800279,NA,0.016539528,0.030432732,54.84770115
122,2001,1,성남동,31110,152,NA,0.608466454,0.01359882,NA,NA
123,2001,1,석모리,28710,201,0.007634945,0.828393136,0.04275507,NA,57.46645866
124,2001,1,송해,28710,201,0.004200271,0.464952639,0.024434371,0.012634641,41.35123967
127,2001,1,숭의,28170,112,0.015975342,1.300410959,0.020531507,0.042671683,65.53961749
128,2001,1,고잔,28200,112,0.008467391,0.927678571,0.010369565,0.031710598,63.472879
129,2001,1,구월동,28200,112,0.008341128,0.999174691,0.008891334,0.035903714,61.86394558
130,2001,1,송림,28140,112,0.011851351,0.813918919,0.0135,0.034855405,57.15322581
131,2001,1,부평,28237,112,0.002976871,0.865578231,0.008065306,0.031312925,54.24459459
132,2001,1,석남,28260,112,0.008167568,1.064594595,0.016391892,0.038554054,49.86962366
133,2001,1,연희,28260,112,0.006844384,0.688903924,0.015496617,0.026456022,58.92059219
134,2001,1,신흥,28110,112,0.011081301,0.739295393,0.009846883,0.024846883,64.15924426
135,2001,1,중동,46230,168,0.002615509,NA,0.030719008,0.014461538,34.9024024
136,2001,1,태인동,46230,168,0.00429681,0.585298197,0.02690784,0.015394495,51.25704809
137,2001,1,용당동,46110,165,0.004748988,0.507668712,0.022848853,0.022691475,28.55330634
138,2001,1,장천동,46150,168,0.003542647,0.566374269,0.017944785,0.012848624,35.93009119
139,2001,1,광무동,46130,168,0.011214575,0.783805668,0.024807537,0.015758853,NA
140,2001,1,월내동,46130,168,0.006955521,0.83265857,0.025968919,0.014467862,57.51432881
142,2001,1,나불리,46830,165,0.002996933,0.352226721,0.016685061,0.0106393,37.56467316
143,2001,1,개정동,45130,140,0.005566814,NA,0.029466398,0.02375672,96.3844086
144,2001,1,소룡동,45130,140,0.018044595,0.679594595,0.018276219,0.022952575,91.2503888
146,2001,1,남중동,45140,140,NA,NA,NA,NA,NA
147,2001,1,삼천동,45111,146,0.006370968,1.44422043,0.013659946,0.015126344,NA
148,2001,1,팔복동,45113,146,0.003323887,0.748717949,0.023676113,0.029670715,41.47098516
149,2001,1,고산리,50110,184,0.001452594,0.266846847,0.039027174,0.002366426,37.1534296
150,2001,1,이도동,50110,184,NA,0.381100141,0.026190743,0.023737728,47.53314528
151,2001,1,독곶리,44210,129,0.004841398,1.390322581,0.029591398,0.017426075,54.7711039
152,2001,1,동문동,44210,129,0.005870317,1.180609418,0.021702929,0.031306849,63.76054422
153,2001,1,성황동,44131,232,0.006667643,1.625295858,0.010806785,0.045082171,38.25915081
154,2001,1,파도리,44825,129,0.001567185,0.211977716,0.02660573,0.010647139,73.20718232
155,2001,1,장락동,43150,221,0.008945355,0.846433566,0.014459644,0.021938942,66.03458647
156,2001,1,사천동,43114,131,0.007901852,1.509666081,0.018060823,0.033234875,NA
157,2001,1,송정동(봉명동),43113,131,0.003758065,0.971985816,0.009887097,0.020222816,80.67023173
158,2001,10,옥천동,42150,105,NA,1.083467742,0.030462366,0.014456989,NA
159,2001,10,간성읍,42820,90,0.004185484,NA,0.048004032,0.003273217,7.629969419
160,2001,10,방산면,42800,211,0.002136119,0.638844086,0.012615591,NA,36.42199108
161,2001,10,명륜동,42130,114,0.008173854,0.982368775,0.015485215,0.021439667,45.24594595
162,2001,10,중앙동(원주),42130,114,0.007418011,0.765598886,0.01353629,0.034526603,36.78359264
